City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Gizo,SB,-8.103,156.8419,82.09,70,44,10.65,scattered clouds
80,Chokurdakh,RU,70.6333,147.9167,-32.75,100,94,5.28,overcast clouds
81,Alofi,NU,-19.0595,-169.9187,77.38,80,47,17.67,light rain
82,Kruisfontein,ZA,-34.0033,24.7314,59.88,80,40,1.9,scattered clouds
83,Bermeo,ES,43.4209,-2.7215,53.82,80,100,5.95,overcast clouds
84,Mosquera,CO,4.7059,-74.2302,64.49,82,40,10.36,scattered clouds
85,Clyde River,CA,70.4692,-68.5914,-16.29,85,2,3.2,clear sky
86,Sorland,NO,67.667,12.6934,44.46,57,0,8.7,clear sky
87,Alice Springs,AU,-23.7,133.8833,63.95,55,99,4.61,overcast clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,74.93,78,0,8.12,clear sky
89,Dongsheng,CN,39.8161,109.9776,29.46,47,65,5.64,broken clouds
90,Sao Filipe,CV,14.8961,-24.4956,76.98,68,100,16.64,overcast clouds
91,Benalla,AU,-36.55,145.9833,46.85,91,100,14.29,overcast clouds
92,Namibe,AO,-15.1961,12.1522,72.72,75,94,2.24,overcast clouds
93,Severo-Kurilsk,RU,50.6789,156.125,32.22,71,60,4.52,broken clouds
94,Likasi,CD,-10.9814,26.7333,68.41,76,78,3.31,broken clouds
95,Kuala Terengganu,MY,5.3302,103.1408,77.72,85,100,11.41,overcast clouds
96,Bethel,US,41.3712,-73.414,36.01,38,20,13.8,few clouds
97,Gushikawa,JP,26.3544,127.8686,74.43,78,37,12.84,scattered clouds
98,Nouadhibou,MR,20.931,-17.0347,68.22,81,0,23.24,clear sky
99,Rocha,UY,-34.4833,-54.3333,87.64,45,12,12.84,few clouds
100,Rikitea,PF,-23.1203,-134.9692,71.33,72,100,6.78,overcast clouds
101,Saldanha,ZA,-33.0117,17.9442,61.88,82,100,22.79,overcast clouds
102,Chikwawa,MW,-16.0335,34.8009,86.22,54,3,15.37,clear sky
103,Ostrovnoy,RU,68.0531,39.5131,37.44,90,100,12.46,light rain
104,Airai,TL,-8.9266,125.4092,61.41,92,100,2.28,overcast clouds
105,Broome,US,42.2506,-75.833,29.62,66,75,14.97,broken clouds
106,Srednekolymsk,RU,67.45,153.6833,-32.15,100,61,5.1,broken clouds
107,Umba,RU,66.6871,34.3429,22.68,94,60,2.46,broken clouds
108,Oyem,GA,1.5995,11.5793,68.77,96,100,2.77,overcast clouds
109,Boyuibe,BO,-20.4167,-63.2833,98.74,24,57,13.44,broken clouds
110,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,23.02,few clouds
111,Cape Town,ZA,-33.9258,18.4232,65.08,64,0,8.99,clear sky
112,Arlit,NE,18.7369,7.3853,80.17,10,99,7.99,overcast clouds
113,Kapaa,US,22.0752,-159.319,79.12,78,40,18.41,scattered clouds
114,Tvedestrand,NO,58.622,8.9315,31.82,70,81,16.96,broken clouds
115,Urdoma,RU,61.7533,48.5442,20.05,92,100,4.14,overcast clouds
116,Lianzhou,CN,24.7811,112.3825,65.1,92,100,0.49,overcast clouds
117,Mar Del Plata,AR,-38.0023,-57.5575,62.62,96,100,10.0,light rain
118,Mpanda,TZ,-6.3655,31.0409,70.16,77,100,2.53,light rain
119,Port Hardy,CA,50.6996,-127.4199,43.23,68,100,9.24,light rain
120,Talcahuano,CL,-36.7167,-73.1167,67.68,45,0,20.71,clear sky
121,Kirakira,SB,-10.4544,161.9205,80.8,80,28,5.75,scattered clouds
122,Dongying,CN,37.4564,118.4856,55.49,83,100,4.74,overcast clouds
123,Zheshart,RU,62.0731,49.5733,21.74,94,100,5.08,overcast clouds
124,Naron,ES,43.5167,-8.1528,61.03,94,100,3.06,overcast clouds
125,Torbay,CA,47.6666,-52.7314,40.26,86,100,18.41,overcast clouds
126,Pisco,PE,-13.7,-76.2167,68.05,77,33,11.5,haze
127,Cayenne,GF,4.9333,-52.3333,84.24,70,100,14.97,overcast clouds
128,Lavrentiya,RU,65.5833,-171.0,17.73,90,100,13.71,overcast clouds
129,Yar-Sale,RU,66.8333,70.8333,3.47,96,100,15.23,light snow
130,Acarau,BR,-2.8856,-40.12,83.82,66,47,19.46,scattered clouds
131,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,38,10.69,scattered clouds
132,Simao,CN,22.7886,100.9748,58.93,98,12,1.92,few clouds
133,Norman Wells,CA,65.282,-126.8329,21.11,92,92,10.13,overcast clouds
134,Tuktoyaktuk,CA,69.4541,-133.0374,14.65,95,100,5.99,overcast clouds
135,Dunedin,NZ,-45.8742,170.5036,56.8,92,11,1.01,few clouds
136,Kavieng,PG,-2.5744,150.7967,80.98,69,61,11.99,broken clouds
137,Ilulissat,GL,69.2167,-51.1,19.42,68,75,0.0,broken clouds
138,Olafsvik,IS,64.8945,-23.7142,43.32,77,88,14.7,overcast clouds
139,Charcas,MX,23.1333,-101.1167,53.44,81,100,13.65,overcast clouds
140,Binga,ZW,-17.6203,27.3414,83.93,31,6,1.43,clear sky
141,Hilo,US,19.7297,-155.09,75.25,89,75,5.75,broken clouds
142,Saint-Joseph,RE,-21.3667,55.6167,73.78,80,19,5.08,few clouds
143,Punta Arenas,CL,-53.15,-70.9167,55.51,47,40,31.07,scattered clouds
144,Maragogi,BR,-9.0122,-35.2225,80.87,64,87,8.99,overcast clouds
145,Hithadhoo,MV,-0.6,73.0833,80.53,78,4,7.99,clear sky
146,Sur,OM,22.5667,59.5289,76.46,64,0,4.16,clear sky
147,Del Rio,US,29.3627,-100.8968,44.71,71,100,5.75,overcast clouds
148,Vestmanna,FO,62.1564,-7.1664,45.52,81,75,17.27,light rain
149,Rawson,AR,-43.3002,-65.1023,60.73,48,1,14.81,clear sky
150,Cabo San Lucas,MX,22.8909,-109.9124,83.61,65,20,5.75,few clouds
151,Kaitangata,NZ,-46.2817,169.8464,53.67,97,52,2.3,broken clouds
152,Revda,RU,56.801,59.9303,11.28,78,98,7.02,overcast clouds
153,Nerja,ES,36.7585,-3.8873,65.23,61,1,8.95,clear sky
154,Haines Junction,CA,60.7522,-137.5108,27.32,96,100,2.48,overcast clouds
155,Kodiak,US,57.79,-152.4072,38.71,93,100,3.44,overcast clouds
156,Victoria,HK,22.2855,114.1577,75.38,80,24,4.0,few clouds
157,Salalah,OM,17.0151,54.0924,77.09,69,20,3.44,few clouds
158,Jamestown,US,42.097,-79.2353,24.71,76,100,14.0,fog
159,Sumenep,ID,-7.0167,113.8667,78.44,87,100,4.7,overcast clouds
160,Hapur,IN,28.7167,77.7833,63.14,35,0,5.97,clear sky
161,Whithorn,JM,18.2604,-78.0378,82.44,57,80,3.98,broken clouds
162,Gander,CA,48.9682,-54.5906,33.17,69,100,13.0,overcast clouds
163,Ano Mera,GR,37.45,25.4,70.43,76,100,16.51,overcast clouds
164,Greenville,US,35.6127,-77.3663,46.56,31,0,5.75,clear sky
165,Qaqortoq,GL,60.7167,-46.0333,21.02,86,100,1.68,overcast clouds
166,Farafangana,MG,-22.8167,47.8333,76.15,88,100,2.44,light rain
167,Grande Prairie,CA,55.1667,-118.8027,33.03,74,100,1.95,overcast clouds
168,Fort-Shevchenko,KZ,44.5086,50.263,50.32,91,100,3.74,overcast clouds
169,Tomatlan,MX,19.9333,-105.25,89.1,44,98,3.22,overcast clouds
170,Lompoc,US,34.6391,-120.4579,70.7,22,0,3.44,clear sky
171,Aswan,EG,24.0934,32.907,75.15,53,0,9.57,clear sky
172,Barpeta,IN,26.3167,91.0,61.56,74,88,6.2,overcast clouds
173,San Luis,AR,-33.295,-66.3356,65.34,38,80,17.25,broken clouds
174,Progreso,MX,21.2833,-89.6667,81.1,70,67,9.82,broken clouds
175,Tabas,IR,33.5959,56.9244,59.9,35,2,5.14,clear sky
176,Ribeira Grande,PT,38.5167,-28.7,68.4,88,75,16.11,broken clouds
177,Dongkan,CN,33.9997,119.8308,54.61,95,100,3.65,overcast clouds
178,Talnakh,RU,69.4865,88.3972,-7.8,94,100,4.29,overcast clouds
179,Pandan,PH,14.0453,124.1694,79.32,89,100,7.52,overcast clouds
180,Chuy,UY,-33.6971,-53.4616,80.06,59,65,12.82,broken clouds
181,Sunndalsora,NO,62.6754,8.5515,35.31,57,2,6.51,clear sky
182,Kushmurun,KZ,52.4503,64.6311,4.41,95,25,1.36,scattered clouds
183,Homer,US,59.6425,-151.5483,33.69,86,100,0.0,overcast clouds
184,Hobyo,SO,5.3505,48.5268,81.28,75,59,13.04,broken clouds
185,Shasta Lake,US,40.6804,-122.3708,58.35,31,100,2.51,overcast clouds
186,Sampit,ID,-2.5333,112.95,74.26,99,96,1.88,overcast clouds
187,Arani,IN,12.6667,79.2833,68.52,60,93,5.97,overcast clouds
188,Pompeia,BR,-22.1086,-50.1717,91.15,27,34,10.65,scattered clouds
189,Iquique,CL,-20.2208,-70.1431,69.84,67,20,3.15,few clouds
190,Aklavik,CA,68.2191,-135.0107,24.8,93,100,10.36,overcast clouds
191,Rundu,NA,-17.9333,19.7667,84.22,19,3,6.78,clear sky
192,Hambantota,LK,6.1241,81.1185,76.6,87,1,5.41,clear sky
