City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-11-20 06:27:23,-46.6,168.3333,58.8,90,67,11.86
1,Rikitea,PF,2022-11-20 06:27:23,-23.1203,-134.9692,71.89,67,100,7.85
2,Nioro,GM,2022-11-20 06:27:23,13.35,-15.75,66.33,17,73,6.2
3,Cam Ranh,VN,2022-11-20 06:27:24,11.9214,109.1591,76.96,94,75,9.22
4,Klaksvik,FO,2022-11-20 06:27:24,62.2266,-6.589,45.52,93,100,41.85
5,Hermanus,ZA,2022-11-20 06:27:25,-34.4187,19.2345,65.8,66,23,4.32
6,Tautira,PF,2022-11-20 06:27:25,-17.7333,-149.15,75.79,81,100,11.27
7,Barrow,US,2022-11-20 06:27:25,71.2906,-156.7887,19.42,93,100,18.41
8,Roma,US,2022-11-20 06:25:05,43.2128,-75.4557,31.37,60,100,11.5
9,Hithadhoo,MV,2022-11-20 06:27:26,-0.6,73.0833,80.56,79,19,9.84
10,Mataura,NZ,2022-11-20 06:27:26,-46.1927,168.8643,58.48,81,91,2.15
11,Mumbwa,ZM,2022-11-20 06:27:27,-14.9783,27.0619,79.12,35,7,4.5
12,East London,ZA,2022-11-20 06:27:27,-33.0153,27.9116,68.94,52,0,10.36
13,Bredasdorp,ZA,2022-11-20 06:27:28,-34.5322,20.0403,63.7,59,72,1.28
14,Busselton,AU,2022-11-20 06:27:28,-33.65,115.3333,69.62,45,65,8.48
15,Faanui,PF,2022-11-20 06:27:28,-16.4833,-151.75,78.3,81,100,14.16
16,Maragogi,BR,2022-11-20 06:27:29,-9.0122,-35.2225,74.93,85,95,6.02
17,Batemans Bay,AU,2022-11-20 06:27:30,-35.7167,150.1833,70.11,36,1,11.32
18,Vaini,TO,2022-11-20 06:27:30,-21.2,-175.2,78.96,89,75,2.3
19,Sangin,AF,2022-11-20 06:27:30,32.0728,64.8359,64.65,28,69,0.76
20,Marzuq,YE,2022-11-20 06:27:31,14.4,46.4667,72.54,36,58,4.88
21,Kavieng,PG,2022-11-20 06:27:31,-2.5744,150.7967,84.45,65,59,11.79
22,Shimoda,JP,2022-11-20 06:27:31,34.6667,138.95,57.56,89,100,22.12
23,Avarua,CK,2022-11-20 06:27:32,-21.2078,-159.775,73.45,83,100,8.05
24,Puerto Escondido,MX,2022-11-20 06:27:32,15.85,-97.0667,77.83,73,0,3.44
25,Butaritari,KI,2022-11-20 06:27:33,3.0707,172.7902,81.14,74,57,8.81
26,Lumphat,KH,2022-11-20 06:27:33,13.4878,106.9816,74.66,93,100,1.21
27,Dikson,RU,2022-11-20 06:27:34,73.5069,80.5464,-15.38,97,99,10.49
28,Lebu,CL,2022-11-20 06:26:44,-37.6167,-73.65,54.41,71,41,19.35
29,Chuy,UY,2022-11-20 06:27:34,-33.6971,-53.4616,65.71,85,90,12.03
